riot marcella trapani 20 june 2012 abila
kronos star pok anniversary rally ends
including one heroic police officer
full blown riot
pok members held
abila general hospital
use tear gas
rich get richer
crowds finally dispersed
two police vehicles
supporters held sit
several government buildings
abila yesterday
police called
several protestors
several dozen
whose name
water cannons
violence escalated
security reasons
protestors handed
presidential manor
poor ".
pepper spray
peaceful end
others took
large demonstration
critical condition
crazed protestor
capitol building
broken glass
beanbags shot
kronos
officer
police
police
sit
government
withheld
vandalized
trash
time
streets
streets
stabbed
signs
shotguns
rocks
littered
ins
ins
injured
front
forced
flyers
crowd
crowd
corrupt
control
chants
bystanders
bottles
barrage
backs
answered
alleged
ablaze
