reported tethys federal law enforcement officials
news online today gastech employees kidnapped
including possibly five executive officers
21 fourteen employees feared kidnapped
radical environmental terrorist group
feared kidnapped yesterday
fourteen employees
news sources
executive kidnappings
tethan ministry
john rathburn
foreign affairs
corporate gathering
assist police
archetypal country
american expert
tethys
kronos 2014
kronos ".
kronos
kronos
kronos
staff
says
protectors
living
known
kidnapping
investigation
however
arrived
01
